event_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,676.81341474,industrial_area,2
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,841.33192304,industrial_area,2
23,,,0
24,,,0
25,,,0
26,339.32397626,industrial_area,12
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,2067.69055033,industrial_area,1
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,3591.55449316,industrial_area,1
50,3775.24435668,industrial_area,2
51,3270.48097146,industrial_area,1
52,3043.51476658,industrial_area,1
53,1012.84217885,power_plant,6
54,3983.86160366,industrial_area,4
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,,,0
71,,,0
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,340.68501164,industrial_works,3
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,1272.74054487,industrial_area,2
93,629.64447424,industrial_area,4
94,1915.71527253,industrial_area,5
95,1203.81651081,power_plant,5
96,403.88697344,industrial_area,5
97,1399.16220989,industrial_area,3
98,1333.43636347,industrial_area,3
99,1146.59787266,industrial_area,3
100,1113.25982381,industrial_area,3
101,1096.65494554,power_plant,4
102,699.46300995,industrial_area,4
103,539.04550431,industrial_area,12
104,300.17321129,industrial_area,12
105,3071.49022412,industrial_area,4
106,3414.87820681,industrial_area,3
107,3091.8804781,industrial_area,3
108,2355.73629186,industrial_area,3
109,2909.36315475,industrial_area,3
110,2491.51578854,industrial_area,3
111,3442.23087168,industrial_area,3
112,3193.42328959,industrial_area,3
113,478.57629047,industrial_area,9
114,3504.10188823,industrial_area,3
115,3087.52582925,industrial_area,2
116,3826.78087914,industrial_area,3
