latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
6.71136,81.53332,331.31,0.61,0.71,2026-09-08,718,N,VIIRS,n,2.0NRT,289.61,5.84,D
6.71596,81.53243,333.96,0.61,0.71,2026-09-08,718,N,VIIRS,n,2.0NRT,289.69,5.37,D
6.72456,81.28551,330.86,0.63,0.72,2026-09-08,718,N,VIIRS,n,2.0NRT,291.77,6.84,D
7.61222,80.93584,339.15,0.64,0.72,2026-09-08,718,N,VIIRS,n,2.0NRT,291.93,6.81,D
7.95023,80.10661,333.68,0.72,0.75,2026-09-08,718,N,VIIRS,n,2.0NRT,287.82,6.49,D
7.97608,80.05353,333.42,0.72,0.76,2026-09-08,718,N,VIIRS,n,2.0NRT,288.36,9.72,D
8.15005,81.13979,337.83,0.61,0.71,2026-09-08,718,N,VIIRS,n,2.0NRT,289.69,7.53,D
8.54175,80.52318,336.54,0.66,0.73,2026-09-08,718,N,VIIRS,n,2.0NRT,289.66,7.06,D
9.37813,80.43444,341.92,0.64,0.72,2026-09-08,718,N,VIIRS,n,2.0NRT,291.88,7.48,D
10.41876,79.25484,335.8,0.74,0.76,2026-09-08,718,N,VIIRS,n,2.0NRT,295.51,7.07,D
10.42313,79.25229,355.09,0.73,0.76,2026-09-08,718,N,VIIRS,n,2.0NRT,295.22,10.43,D
10.42577,79.25342,344.95,0.74,0.76,2026-09-08,718,N,VIIRS,n,2.0NRT,295.13,7.07,D
11.16977,79.58669,330.7,0.68,0.74,2026-09-08,718,N,VIIRS,n,2.0NRT,293.92,5.67,D
11.44852,79.55484,331.28,0.67,0.74,2026-09-08,720,N,VIIRS,n,2.0NRT,294.18,6.1,D
11.71798,79.20487,330.28,0.7,0.75,2026-09-08,720,N,VIIRS,n,2.0NRT,294.5,6.98,D
11.71861,79.20637,333.78,0.7,0.75,2026-09-08,720,N,VIIRS,n,2.0NRT,294.92,4.97,D
11.91456,78.91544,337.28,0.73,0.76,2026-09-08,720,N,VIIRS,n,2.0NRT,294.41,4.43,D
16.86624,79.28669,340.8,0.55,0.68,2026-09-08,720,N,VIIRS,n,2.0NRT,287.48,10.5,D
16.86987,79.28905,349.2,0.55,0.68,2026-09-08,720,N,VIIRS,n,2.0NRT,286.91,9.74,D
17.42077,82.34301,336.64,0.34,0.56,2026-09-08,720,N,VIIRS,n,2.0NRT,292.76,2.06,D
17.42123,82.3414,329.03,0.34,0.56,2026-09-08,720,N,VIIRS,n,2.0NRT,292.18,2.8,D
19.09924,82.16588,327.77,0.33,0.55,2026-09-08,720,N,VIIRS,n,2.0NRT,293.54,3.91,D
22.68995,92.1611,329.81,0.41,0.37,2026-09-08,722,N,VIIRS,n,2.0NRT,292.02,2.89,D
23.67418,86.0887,335.29,0.48,0.4,2026-09-08,722,N,VIIRS,n,2.0NRT,289.13,7.74,D
27.94888,95.25629,332.5,0.44,0.46,2026-09-08,722,N,VIIRS,n,2.0NRT,294.32,2.75,D
28.65772,77.57368,338.07,0.39,0.6,2026-09-08,724,N,VIIRS,n,2.0NRT,294.07,3.21,D
29.9065,74.94508,367,0.52,0.67,2026-09-08,724,N,VIIRS,h,2.0NRT,295.48,13.87,D
