cluster_id,longitude,latitude,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,persistence_score,nearest_facility_name,nearest_facility_type,distance_to_facility_m,time_span_days,suggested_label,label_reasoning
430,69.67286666666666,28.040446666666668,2026-09-07,2026-09-08,3,2,3.4133333333333327,4.14,2.0,,industrial_works,283.181028,1,Industrial Fire,Close to an unnamed industrial_works (283m away) but only active 2 day(s) over a 1-day window (3 detections) — reads as a transient burn event at/near a facility rather than an ongoing source.
2012,80.49218666666667,7.799646666666667,2026-07-24,2026-07-25,3,2,1.2033333333333334,1.37,2.0,,,,1,Other/Unknown,"No nearby facility, moderate intensity (max FRP 1.4), short/low activity (2 active day(s) over 1 days, persistence score 2.00) — insufficient evidence to confidently classify."
2121,68.272976,29.861924,2026-07-16,2026-07-17,10,2,3.722,10.74,2.0,,,,1,Wildfire / Natural Fire,"No industrial facility within 5km, high peak intensity (max FRP 10.7), short-lived (2 active day(s) over 1 days) — profile matches a natural/wild fire rather than a stable industrial source."
1543,81.00248,6.7730733333333335,2026-09-01,2026-09-02,3,2,1.02,1.18,2.0,Tea Factory,industrial_works,3744.21406583,1,Industrial Fire,Close to Dambatenne Tea Factory (1143m away) but only active 2 day(s) over a 1-day window (3 detections) — reads as a transient burn event at/near a facility rather than an ongoing source.
1543,81.00248,6.7730733333333335,2026-09-01,2026-09-02,3,2,1.02,1.18,2.0,Dambatenne Tea Factory,industrial_works,1142.99999688,1,Industrial Fire,Close to Dambatenne Tea Factory (1143m away) but only active 2 day(s) over a 1-day window (3 detections) — reads as a transient burn event at/near a facility rather than an ongoing source.
1542,81.119805,6.571925,2026-09-01,2026-09-02,2,2,2.17,3.48,2.0,,,,1,Other/Unknown,"No nearby facility, moderate intensity (max FRP 3.5), short/low activity (2 active day(s) over 1 days, persistence score 2.00) — insufficient evidence to confidently classify."
1539,77.26857874999999,11.59037125,2026-09-01,2026-09-02,8,2,1.56,2.54,2.0,,,,1,Other/Unknown,"No nearby facility, moderate intensity (max FRP 2.5), short/low activity (2 active day(s) over 1 days, persistence score 2.00) — insufficient evidence to confidently classify."
1520,80.39409666666667,9.434393333333334,2026-09-01,2026-09-02,6,2,3.2183333333333337,3.58,2.0,,,,1,Other/Unknown,"No nearby facility, moderate intensity (max FRP 3.6), short/low activity (2 active day(s) over 1 days, persistence score 2.00) — insufficient evidence to confidently classify."
2082,81.62933,6.945505,2026-07-22,2026-07-23,2,2,5.625,9.14,2.0,,power_plant,448.42780101,1,Industrial Fire,Close to an unnamed power_plant (448m away) but only active 2 day(s) over a 1-day window (2 detections) — reads as a transient burn event at/near a facility rather than an ongoing source.
1492,81.72363999999999,7.34056,2026-09-01,2026-09-02,2,2,3.595,5.18,2.0,,,,1,Other/Unknown,"No nearby facility, moderate intensity (max FRP 5.2), short/low activity (2 active day(s) over 1 days, persistence score 2.00) — insufficient evidence to confidently classify."
