event_id,latitude,longitude,event_date,event_time,confidence,bright_ti4,bright_ti5,frp,daynight,cluster_id,nearest_facility_distance_m,nearest_facility_type,facilities_within_radius,total_detections,active_days,cluster_mean_frp,cluster_max_frp,persistence_score,ndvi_mean,ndbi_mean,ndwi_mean,swir1_mean,swir2_mean,valid_pixel_fraction
2075,6.18458,81.1745,2026-09-12,07:41:00,n,337.5,290.02,3.36,D,,,,0,1.0,1.0,,,0.0,0.3751267102556809,0.0476242977230237,-0.4144067903837368,0.3078178954810937,0.2170487548874007,1.0
2076,6.5824,81.02856,2026-09-12,07:41:00,n,331.75,295.24,7.64,D,,,,0,1.0,1.0,,,0.0,0.4215940861082603,-0.0087123740445658,-0.4941978849786,0.3141920897514865,0.2029065185593026,1.0
2080,6.8061,81.54609,2026-09-12,07:41:00,n,341.46,295.5,5.9,D,,,,0,1.0,1.0,,,0.0,0.3637273125634294,0.0892883212408916,-0.460667687993611,0.3515998046095774,0.2450024900908829,1.0
2081,6.98819,81.45032,2026-09-12,07:41:00,n,342.17,298.28,6.93,D,,,,0,1.0,1.0,,,0.0,0.743904681057054,-0.1987930923813949,-0.6644123104456022,0.2228729003982152,0.1152555419685086,1.0
2083,7.02286,81.33838,2026-09-12,07:41:00,n,335.63,295.87,4.34,D,,,,0,1.0,1.0,,,0.0,0.7798606377195759,-0.2551060385376146,-0.6793620210529049,0.2080088867951417,0.0986961914532003,1.0
2091,7.09008,80.98764,2026-09-12,07:41:00,n,340.19,293.43,10.15,D,,,,0,1.0,1.0,,,0.0,0.7693963538351388,-0.2605302288405433,-0.7025319353355428,0.2235859374741267,0.1119704590582841,1.0
2093,7.10688,81.00608,2026-09-12,07:41:00,n,334.54,295.14,4.89,D,,,,0,1.0,1.0,,,0.0,0.6615285242797962,-0.1483876957628194,-0.6290155377812814,0.2451238036719587,0.1366459717123689,1.0
2094,7.11013,81.58477,2026-09-12,07:41:00,n,341.69,297.42,13.57,D,,,,0,1.0,1.0,,,0.0,0.6747185243660778,-0.1208832515433915,-0.6177627483671366,0.2499172118696151,0.143249194308737,1.0
2096,7.12647,81.6804,2026-09-12,07:41:00,n,335.91,295.82,7.02,D,,,,0,1.0,1.0,,,0.0,0.4277152869175132,0.0932637991638512,-0.4713907217654315,0.3255474121692714,0.221384912180838,1.0
2098,7.18581,81.79967,2026-09-12,07:41:00,n,333.13,298.1,1.44,D,,,,0,1.0,1.0,,,0.0,0.2794902139171842,0.2267940729765517,-0.3868514240571519,0.3466417478266521,0.2777634521771688,1.0
2099,7.27174,81.58786,2026-09-12,07:41:00,n,330.17,298.99,6.65,D,,,,0,1.0,1.0,,,0.0,0.6058312986843275,-0.0203665495899842,-0.5849507409036259,0.2813713624673255,0.172702490201118,1.0
