event_id,cluster_id,latitude,longitude,event_date,label,predicted_label,risk_score,risk_tier
2075,,6.18458,81.1745,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2076,,6.5824,81.02856,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2080,,6.8061,81.54609,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2081,,6.98819,81.45032,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2083,,7.02286,81.33838,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2091,,7.09008,80.98764,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2093,,7.10688,81.00608,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2094,,7.11013,81.58477,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2096,,7.12647,81.6804,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2098,,7.18581,81.79967,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2099,,7.27174,81.58786,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2100,,7.35733,80.97545,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2101,,7.35879,80.95721,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2102,,7.37745,81.0931,2026-09-12,Other/Unknown,Other/Unknown,1.3,Low
2104,,7.52494,80.97937,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2109,,7.57145,80.9379,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2119,,7.68932,80.4494,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2123,,7.78176,81.48782,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2132,,7.91244,81.16814,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2135,,7.96555,81.08558,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2139,,8.00496,80.94511,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2140,,8.03993,80.68317,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2141,,8.06122,81.0103,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2142,,8.06541,80.3713,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2143,,8.07677,81.39046,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
2144,,8.07846,81.00792,2026-09-12,Other/Unknown,Other/Unknown,0.0,Low
