id,latitude,longitude,event_date,frp,cluster_label
1038,6.71136,81.53332,2026-09-08,5.84,0
1039,6.71596,81.53243,2026-09-08,5.37,0
3,6.72456,81.28551,2026-09-08,6.84,1
4,7.61222,80.93584,2026-09-08,6.81,2
1040,6.72456,81.28551,2026-09-08,6.84,1
6,7.97608,80.05353,2026-09-08,9.72,3
7,8.15005,81.13979,2026-09-08,7.53,4
8,8.54175,80.52318,2026-09-08,7.06,5
9,9.37813,80.43444,2026-09-08,7.48,6
1041,7.61222,80.93584,2026-09-08,6.81,2
1042,7.95023,80.10661,2026-09-08,6.49,7
1043,7.97608,80.05353,2026-09-08,9.72,3
13,11.16977,79.58669,2026-09-08,5.67,8
14,11.44852,79.55484,2026-09-08,6.1,9
1044,8.15005,81.13979,2026-09-08,7.53,4
1045,8.54175,80.52318,2026-09-08,7.06,5
17,11.91456,78.91544,2026-09-08,4.43,10
1046,9.37813,80.43444,2026-09-08,7.48,6
1047,10.41876,79.25484,2026-09-08,7.07,11
1048,10.42313,79.25229,2026-09-08,10.43,11
1049,10.42577,79.25342,2026-09-08,7.07,11
1050,11.16977,79.58669,2026-09-08,5.67,8
23,22.68995,92.1611,2026-09-08,2.89,12
1051,11.44852,79.55484,2026-09-08,6.1,9
25,27.94888,95.25629,2026-09-08,2.75,13
26,28.65772,77.57368,2026-09-08,3.21,14
1052,11.71798,79.20487,2026-09-08,6.98,15
1053,11.71861,79.20637,2026-09-08,4.97,15
1054,11.91456,78.91544,2026-09-08,4.43,10
30,31.21099,75.96707,2026-09-08,2.47,16
1055,16.86624,79.28669,2026-09-08,10.5,17
1056,16.86987,79.28905,2026-09-08,9.74,17
1057,17.42077,82.34301,2026-09-08,2.06,18
1058,17.42123,82.3414,2026-09-08,2.8,18
1059,19.09924,82.16588,2026-09-08,3.91,19
1060,22.68995,92.1611,2026-09-08,2.89,12
1061,23.67418,86.0887,2026-09-08,7.74,20
1062,27.94888,95.25629,2026-09-08,2.75,13
1063,28.65772,77.57368,2026-09-08,3.21,14
1064,29.9065,74.94508,2026-09-08,13.87,21
1065,29.90792,74.9504,2026-09-08,16.71,21
42,8.43047,80.35378,2026-09-08,6.95,22
1066,29.90838,74.94791,2026-09-08,15.56,21
44,8.68277,80.80513,2026-09-08,3.8,23
1067,31.21099,75.96707,2026-09-08,2.47,16
